Question,Human_Answer,Bot_Answer,BERT
List the indicator of compromises associated with Trojan.KillProc2.21513?,"update: 20231026, version: 7.0.61.8090","""Trojan.KillProc2.21513"", ""update"": ""20231026"", ""version"": ""7.0.61.8090""",0.8455418944358826
List the IOC associated with HEUR:Trojan-Spy.Win32.Stealer.gen?,"update: 20221229, version: 21.0.1.45","The IOC associated with HEUR:Trojan-Spy.Win32.Stealer.gen is ""update"": ""20221229"", ""version"": ""21.0.1.45""",0.7741250991821289
List the hashes associated with HEUR:Trojan-Spy.Win32.Noon.gen?,"acdbbcfe2c1fd3ea01e47bdd4066671185248ada, fb0e85c85e1e2745115bb7c832f102cc4e4ef11f60740e77fc0a47163080419d","acdbbcfe2c1fd3ea01e47bdd4066671185248ada, fb0e85c85e1e2745115bb7c832f102cc4e4ef11f60740e77fc0a47163080419d",1.0
List the IOC associated with Trojan-Dropper.Win32.Agent.tevomp?,"update: 20221207, version: 1.0, sha1: aa3225e9b45f98a3b2585e171e96d4a9c1ccca7c, sha256: ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9","""Trojan-Dropper.Win32.Agent.tevomp"", ""update"": ""20221207"", ""version"": ""1.0"", ""sha1"": ""aa3225e9b45f98a3b2585e171e96d4a9c1ccca7c"", ""sha256"": ""ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9"", ""total"": 70, ""verbose_msg"": ""Scan finished, information embedded""",0.9458969235420227
List the IOC only associated with Trojan.GenericKD.68327531 (B)?,"update: 20240125, version: 2022.6.0.32461","""result"": ""Trojan.GenericKD.68327531 (B)"", ""update"": ""20240125"", ""version"": ""2022.6.0.32461""",0.8643783330917358
List the hashes associated with HEUR:Trojan.Win32.Packed.gen?,sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9 and sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557.,"The hashes associated with HEUR:Trojan.Win32.Packed.gen are ""sha1"": ""b5ce8b34693d46981380e6e1fe69dbd7a4deeee9"" and ""sha256"": ""f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557"".",0.9687577486038208
List the hashes associated with Trojan.Win32.Injuke.gjpn?,"b03328149e8e337aaf5aa991c82ca6afb7868fff, f5bfe40d831361dd4a0e0a7aea486450f648c8a8f41113b3a821ef123b5118b9","b03328149e8e337aaf5aa991c82ca6afb7868fff, f5bfe40d831361dd4a0e0a7aea486450f648c8a8f41113b3a821ef123b5118b9",1.0
List the hashes associated with HEUR:Backdoor.Win32.Mokes.gen?,"f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2, fb1bf08b724be23ef3e6301944d5c9efd1b919e0ed7055a174686cf26b8f3403","f892a86d4af2c61bf9284c3cf6608eb003b6a5570829ed3dbecb28eb69bc50d2, fb1bf08b724be23ef3e6301944d5c9efd1b919e0ed7055a174686cf26b8f3403",1.0
List the IOC associated with Trojan.Malware.8703358.susgen?,"update: 20230819, version: 1.0.0.1","\n\n- ""update"": ""20230819""\n- ""version"": ""1.0.0.1""\n- ""detected"": true\n- ""result"": ""Trojan.Malware.8703358.susgen""",0.7088526487350464
List the IOC associated with HEUR:Trojan-Downloader.Win32.PsDownload.gen?,update: 20221206 and the version: 21.0.1.45,"\nThere are several IOC (Indicators of Compromise) associated with HEUR:Trojan-Downloader.Win32.PsDownload.gen, including the update date of ""20221206"" and the version number of ""21.0.1.45""",0.8304791450500488
List the IOC only associated with Trojan.Win32.Tofsee.4!c?,"update: 20230723, version: 7.5","""update"": ""20230723"", ""version"": ""7.5""",0.7853296399116516
List the IOC associated with Trojan-Downloader.Win32.GCleaner.ilz?,"sha1: 17194a2231038cd94c83faf4b811892e943bf968, sha256: fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7","\n- ""result"": ""Trojan-Downloader.Win32.GCleaner.ilz""\n- ""sha1"": ""17194a2231038cd94c83faf4b811892e943bf968""\n- ""sha256"": ""fd989f1b02e14369ad076516f5d5ceb380684e7a0ba899f90cfa287e0bbf2ca7""\n- ""total"": 66\n- ""verbose_msg"": ""Scan finished, information embedded""\n- ""update"": ""20230825""\n- ""version"": ""1.0""\n",0.9092887043952942
List the IOC associated with Win32.Troj.Generic_a.a.(kcloud)?,"update: 20221222, version: 2017.9.26.565","The IOC associated with Win32.Troj.Generic_a.a.(kcloud) is ""update"": ""20221222"", ""version"": ""2017.9.26.565""",0.7700161337852478
List the IOC associated with Application.Bundler.DAM?,"result: Application.Bundler.DAM (B), update: 20240123, version: 2022.6.0.32461, result: Application.Bundler.DAM, update: 20240123, version: 35.47.0.0, result: Application.Bundler.DAM, update: 20240123, version: A:25.37219B:27.34670","\n- ""Emsisoft"": {""detected"": true, ""result"": ""Application.Bundler.DAM (B)"", ""update"": ""20240123"", ""version"": ""2022.6.0.32461""}\n- ""FireEye"": {""detected"": true, ""result"": ""Application.Bundler.DAM"", ""update"": ""20240123"", ""version"": ""35.47.0.0""}\n- ""GData"": {""detected"": true, ""result"": ""Application.Bundler.DAM"", ""update"": ""20240123"", ""version"": ""A:25.37219B:27.34670""",0.8789982199668884
List the indicator of compromises associated with DeepScan:Generic.Ransom.HydraCrypt.231105F7 ?,"update: 20230524, version: 2022.6.0.32461 ","The indicators of compromise associated with DeepScan:Generic.Ransom.HydraCrypt.231105F7 are ""detected"": true, ""result"": ""DeepScan:Generic.Ransom.HydraCrypt.231105F7 (B)"", ""update"": ""20230524"", ""version"": ""2022.6.0.32461"" from the ""Emsisoft"" antivirus.",0.7901713252067566
List the different versions associated with DeepScan:Generic.Ransom.HydraCrypt.75BB5599?,"2022.6.0.32461, and 35.24.1.0.","The different versions associated with DeepScan:Generic.Ransom.HydraCrypt.75BB5599 are 2022.6.0.32461, and 35.24.1.0.",0.8134461641311646
List the IOC associated with Trojan.ClipBankerNET.7?,"update: 20230524, version: 7.0.59.12300","The IOC associated with Trojan.ClipBankerNET.7 is ""Detected"": true, ""result"": ""Trojan.ClipBankerNET.7"", ""update"": ""20230524"", ""version"": ""7.0.59.12300"".",0.7838586568832397
List the IOC associated with Trojan.MalPack.GS?',"update: 20230723, version: 4.5.5.54","{""result"": ""Trojan.MalPack.GS"", ""update"": ""20230723"", ""version"": ""4.5.5.54""}",0.770423412322998
List the IOC associated with Downloader.AgentAGen.Win32.23758?,"sha1: 35e8722f5bf1997d6022fa512f60458470a8999e, sha256: fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d",\nSHA1: 35e8722f5bf1997d6022fa512f60458470a8999e\nSHA256: fd59543a425d2159dfadba8efd4d40178b609ef123a8bc5cf00fe3afef95623d,0.9837146401405334
List the IOC and respective different versions associated with DCRat.bot?,"Trojan.Win32.DCRat.4!c, update: 20230805, version: 7.5, Trojan.Win32.DCRat.4!c, update: 20230827, version: 7.5, Trojan.Win32.DCRat.jxdpkd, update: 20230827, version: 1.0.146.25796","\n\n1. ""Trojan.Win32.DCRat.4!c""\n- ""update"": ""20230805""\n- ""version"": ""7.5""\n\n2. ""Trojan.Win32.DCRat.4!c""\n- ""update"": ""20230827""\n- ""version"": ""7.5""\n\n3. ""Trojan.Win32.DCRat.jxdpkd""\n- ""update"": ""20230827""\n- ""version"": ""1.0.146.25796""",0.890433132648468
List all IOC associated with OScope.Trojan.MSIL.Bitrans.gen.P?,"update: 20240109, version: 5.0.0","""update"": ""20240109"", ""version"": ""5.0.0""",0.897059440612793
List the hashes associated with HEUR:Backdoor.MSIL.Androm.gen?,sha1: ab9dab1df5b30fbd8ae86ff647df2289cd248477 and sha256: f8c1925693a82d8a544bedcf975160a6cbd8a0d0e2a463e402402d8d28ad6e8d,"The hashes associated with HEUR:Backdoor.MSIL.Androm.gen are ""sha1"": ""ab9dab1df5b30fbd8ae86ff647df2289cd248477"" and ""sha256"": ""f8c1925693a82d8a544bedcf975160a6cbd8a0d0e2a463e402402d8d28ad6e8d""",0.9624702334403992
List the IOC associated with HEUR:Backdoor.MSIL.Androm.gen?,"update: 20240109, version: 1.0","\n- ""update"": ""20240109""\n- ""version"": ""1.0""",0.8189805746078491
List the IOC associated with Trojan.Win32.PSWStealer.DGV?,"update: 20230811, version: 9.5.512","\n\n- ""Detected"": true\n- ""Result"": ""Trojan.Win32.PSWStealer.DGV""\n- ""Update"": ""20230811""\n- ""Version"": ""9.5.512""",0.7229773998260498
List the IOC associated with UDS:Trojan.Win32.Chapak.gen?,"sha1: b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514, sha256:, d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0","""sha1"": ""b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514"", ""sha256"": ""d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0"", ""total"": 71, ""verbose_msg"": ""Scan finished, information embedded""",0.9743950963020325
Which file hashes with the result Trojan.Dropper?,sha256: ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9 and sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557,"The file hashes with the result Trojan.Dropper are ""sha256"": ""ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9"" and ""sha256"": ""f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557""",0.9707459807395935
List the IOC associated with Suspicious.Win32.Save.a?,"update: 20240106, version: 2.23.0.0","The IOC associated with Suspicious.Win32.Save.a is ""20240106"", ""2.23.0.0"".",0.770139217376709
Which file is associated with Trojan.Win32.PSWStealer.DGV?,sha256: fee98e19e2d08bccf5215f0882ff9025f3632b45b8c9b06273c029c421958fa0,"The file associated with Trojan.Win32.PSWStealer.DGV is ""sha256"": ""fee98e19e2d08bccf5215f0882ff9025f3632b45b8c9b06273c029c421958fa0"".",0.9268530011177063
List the indicator of compromises of Ransom.Stop/Variant and give the sha256 hash value for it?,f8240f83a9ee488242a787d18a49f1fe7fa4ff8eadf8b9a991c9952cb4a2a6a9,"\nThe indicator of compromise for Ransom.Stop/Variant is ""verbose_msg"": ""Scan finished, information embedded"" and the sha256 hash value for it is ""f8240f83a9ee488242a787d18a49f1fe7fa4ff8eadf8b9a991c9952cb4a2a6a9"".'",0.9036312699317932
"List the indicator of compromises of ""Generic.mg.fcbb2f1cb46482ba""","update: 20230929, version: 35.24.1.0","\n\n""FireEye"": {""detected"": true, ""result"": ""Generic.mg.fcbb2f1cb46482ba"", ""update"": ""20230320"", ""version"": ""35.24.1.0""}",0.7294085025787354
List all the IOC associated with UDS:Trojan?,"result: UDS:Trojan.Win32.Chapak.gen, version: 21.0.1.45; result: UDS:Trojan.Win32.Chapak.gen, version: 1.0; sha1: b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514, sha256: d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0; result: UDS:Trojan.MSIL.Agent.gen, version: 22.0.1.28, sha1: 4168beec23644eef8dd7e9abb8c606e021e3fa44, sha256: f7a1cbb0e187c857b3b72e9003b74c62d1fb921d7efa5692b1e723e5134d2832.","\n1. ""UDS:Trojan.Win32.Chapak.gen""\n2. ""sha1"": ""b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514""\n3. ""sha256"": ""d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0""\n4. ""total"": 71\n5. ""verbose_msg"": ""Scan finished, information embedded""",0.9555885195732117
List all the hashes associated with Trojan Packed?,"The sha hashes are given by: sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9, sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557","""sha1"": ""b5ce8b34693d46981380e6e1fe69dbd7a4deeee9""\n""sha256"": ""f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557""",0.9745973944664001
List all the IOC associated with HEUR:Trojan and the respective hashes?,"result: HEUR:Trojan.Win32.Packed.gen: sha1: b5ce8b34693d46981380e6e1fe69dbd7a4deeee9, sha256: f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557 result: HEUR:Trojan-Spy.Win32.Noon.gen: sha1: acdbbcfe2c1fd3ea01e47bdd4066671185248ada, sha256: fb0e85c85e1e2745115bb7c832f102cc4e4ef11f60740e77fc0a47163080419d result: HEUR:Trojan.Win32.Generic: sha1: 58694c2ee18abee9c4787d8d555be5c59476f563, sha256: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab","\n\n- ""HEUR:Trojan.Win32.Packed.gen"": sha1: ""b5ce8b34693d46981380e6e1fe69dbd7a4deeee9"", sha256: ""f434dde30d9a4e51fe173e8bd509e73732ee23814fb92753df8130ef7cbf8557""\n- ""HEUR:Trojan-Spy.Win32.Noon.gen"": sha1: ""acdbbcfe2c1fd3ea01e47bdd4066671185248ada"", sha256: ""fb0e85c85e1e2745115bb7c832f102cc4e4ef11f60740e77fc0a47163080419d""\n- ""HEUR:Trojan.Win32.Generic"": sha1: ""58694c2ee18abee9c4787d8d555be5c59476f563"", sha256: ""f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab""",0.9904555678367615
List the IOC associated with Generic.Malware/Suspicious?,"version: v0.1.4
sha1: d1d4762c91d74acc2d913bb5dc13951582d46118
sha256: fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771","\n- ""update"": ""20230825""\n- ""version"": ""v0.1.4""\n- ""sha1"": ""d1d4762c91d74acc2d913bb5dc13951582d46118""\n- ""sha256"": ""fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771""",0.9680086374282837
List all hashes associated with Trojan.Chapak?,"sha1: b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514, sha256: d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0.","The hashes associated with Trojan.Chapak are: ""sha1"": ""b4cf5bbb56f04eb9cf5edf777ae0b98bfbe20514"", ""sha256"": ""d42cc946d835131d4dcf627a1aca8eb419ac537e6e771759898c0683bb03c2b0"".",0.9740930795669556
List the indicators of compromises associated with 'Trojan.Infostealer.Gen'?,"update: 20240125, version: 28628","\n1. ""detected"": true\n2. ""result"": ""Trojan.Infostealer.Gen""\n3. ""update"": ""20240125""\n4. ""version"": ""28628""",0.7334286570549011
List the different versions of 'Trojan.MalPack.GS'?,"4.5.5.54, 4.4.4.52, and 1.0.0.1.","The different versions of 'Trojan.MalPack.GS' are 4.5.5.54, 4.4.4.52, and 1.0.0.1.",0.825603723526001
List the version and respective hash value of Trojan.GenericKD.63480366?,"Version: 1.0, Hash Value: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab",\nVersion: 1.0\nHash Value: f3d6748b88f45598e4db85b3d2bd9c98532da20152703d50f74619354ab997ab,0.9808220863342285
List the hashes associated with Malcode?,"sha1: d1d4762c91d74acc2d913bb5dc13951582d46118, sha256: fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771
sha1: b0f0539ef84e5d578fe6a4c19f4082ab65cb53f7, sha256: fc0398c8cc7840ce954a1be30d56fc2430f7493656e0da8558a280d872d27889
sha1: c633ddfaa3f4ae3372908e2327b4d3b5ccaf2382, sha256: f4342ea5d07c0517de0e5ca191333fed614e6af5f0554756516c20e7dbb3aec7




","The hashes associated with Malcode are ""sha1"": ""d1d4762c91d74acc2d913bb5dc13951582d46118"", ""sha256"": ""fc6075859524b059e190cf221cad4bf979033def92e43069ade2c919bcffd771"", ""sha1"": ""b0f0539ef84e5d578fe6a4c19f4082ab65cb53f7"", ""sha256"": ""fc0398c8cc7840ce954a1be30d56fc2430f7493656e0da8558a280d872d27889"", ""sha1"": ""c633ddfaa3f4ae3372908e2327b4d3b5ccaf2382"", ""sha256"": ""f4342ea5d07c0517de0e5ca191333fed614e6af5f0554756516c20e7dbb3aec7""",0.9865225553512573
List the hashes associated with Trojan.Agent/Gen-Dropper?,sha1: aa3225e9b45f98a3b2585e171e96d4a9c1ccca7c and sha256: ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9.,"The hashes associated with Trojan.Agent/Gen-Dropper are ""sha1"": ""aa3225e9b45f98a3b2585e171e96d4a9c1ccca7c"" and ""sha256"": ""ff3640741113031a58d0663792cc9da634e2f3b52e4ee9da022c174568e7efa9"".",0.9736092686653137
